player,date,opponent,home_away,pa,ab,hits,doubles,triples,hr,bb,hbp,sf,r,rbi,pa_vs_r,ab_vs_r,h_vs_r,hr_vs_r,bb_vs_r,hbp_vs_r,sf_vs_r,pa_vs_l,ab_vs_l,h_vs_l,hr_vs_l,bb_vs_l,hbp_vs_l,sf_vs_l,team_h,team_ab
Bryce Harper,2026-03-26,TEX,Home,4,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,10,34
J.T. Realmuto,2026-03-26,TEX,Home,4,3,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Kyle Schwarber,2026-03-26,TEX,Home,4,4,1,0,0,1,0,0,0,1,2,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Trea Turner,2026-03-26,TEX,Home,4,4,2,0,0,0,0,0,0,2,0,3,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Bryce Harper,2026-03-28,TEX,Home,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1,0,0,0,0,5,36
J.T. Realmuto,2026-03-28,TEX,Home,4,4,1,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Kyle Schwarber,2026-03-28,TEX,Home,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Trea Turner,2026-03-28,TEX,Home,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Bryce Harper,2026-03-29,TEX,Home,4,2,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,3,2,0,0,1,0,0,3,27
J.T. Realmuto,2026-03-29,TEX,Home,4,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0
Kyle Schwarber,2026-03-29,TEX,Home,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0
Trea Turner,2026-03-29,TEX,Home,5,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4,3,0,0,1,0,0,0,0
Bryce Harper,2026-03-30,WSH,Home,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,7,35
Kyle Schwarber,2026-03-30,WSH,Home,5,3,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,3,2,0,0,0,1,0,0,0
Trea Turner,2026-03-30,WSH,Home,5,5,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0
