helper,player,date,opponent,home_away,pa,ab,hits,doubles,triples,hr,bb,hbp,sf,r,rbi,pa_vs_r,ab_vs_r,h_vs_r,hr_vs_r,bb_vs_r,hbp_vs_r,sf_vs_r,pa_vs_l,ab_vs_l,h_vs_l,hr_vs_l,bb_vs_l,hbp_vs_l,sf_vs_l,team_h,team_ab
Bryce Harper 46107,Bryce Harper,3/26/2026,TEX,Home,4,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,10,34
J.T. Realmuto 46107,J.T. Realmuto,3/26/2026,TEX,Home,4,3,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Kyle Schwarber 46107,Kyle Schwarber,3/26/2026,TEX,Home,4,4,1,0,0,1,0,0,0,1,2,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Trea Turner 46107,Trea Turner,3/26/2026,TEX,Home,4,4,2,0,0,0,0,0,0,2,0,3,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0
Bryce Harper 46109,Bryce Harper,3/28/2026,TEX,Home,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1,0,0,0,0,5,36
J.T. Realmuto 46109,J.T. Realmuto,3/28/2026,TEX,Home,4,4,1,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Kyle Schwarber 46109,Kyle Schwarber,3/28/2026,TEX,Home,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
Trea Turner 46109,Trea Turner,3/28/2026,TEX,Home,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Bryce Harper 46110,Bryce Harper,3/29/2026,TEX,Home,4,2,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,3,2,0,0,1,0,0,3,27
J.T. Realmuto 46110,J.T. Realmuto,3/29/2026,TEX,Home,4,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0
Kyle Schwarber 46110,Kyle Schwarber,3/29/2026,TEX,Home,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0
Trea Turner 46110,Trea Turner,3/29/2026,TEX,Home,5,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,4,3,0,0,1,0,0,0,0
Bryce Harper 46111,Bryce Harper,3/30/2026,WSH,Home,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,7,35
Kyle Schwarber 46111,Kyle Schwarber,3/30/2026,WSH,Home,5,3,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,3,2,0,0,0,1,0,0,0
Trea Turner 46111,Trea Turner,3/30/2026,WSH,Home,5,5,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0
Bryce Harper 46112,Bryce Harper,3/31/2026,WSH,Home,4,4,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,2,1,0,0,0,0,7,30
J.T. Realmuto 46112,J.T. Realmuto,3/31/2026,WSH,Home,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Schwarber 46112,Kyle Schwarber,3/31/2026,WSH,Home,4,3,1,0,0,1,1,0,0,1,1,2,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0
Trea Turner 46112,Trea Turner,3/31/2026,WSH,Home,4,4,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0
Bryce Harper 46113,Bryce Harper,4/1/2026,WSH,Home,5,5,1,0,0,1,0,0,0,1,1,3,3,0,0,0,0,0,2,2,1,1,0,0,0,12,38
